,title,date,place
1,莫三比克運油車爆炸，釀至少73死 ,2016.11.18, 莫三比克
2,肯亞決定延後半年關閉達達阿比難民營 ,2016.11.17, 肯亞
3,奈及利亞什葉派穆斯林與警方發生衝突，釀至少9死 ,2016.11.15, 奈及利亞
4,IMF同意提供埃及120億美元貸款紓困 ,2016.11.14, 埃及
5,南非國會對總統進行不信任投票 ,2016.11.11, 南非
6,奈及利亞礦場遭槍手攻擊，釀逾30死 ,2016.11.09, 奈及利亞
7,被指控涉貪，南非總統稱不害怕坐牢 ,2016.11.07, 南非
8,南非數千民眾上街要求涉貪總統下台 ,2016.11.04, 南非
9,聯合國：利比亞外海2起船難釀至少239死 ,2016.11.04, 利比亞
10,肯亞退出南蘇丹維和任務 ,2016.11.03, 南蘇丹
11,執法致魚販喪命，摩洛哥民眾上街抗議 ,2016.11.02, 摩洛哥
12,聯合國：馬達加斯加150萬人面臨飢荒 ,2016.10.28, 馬達加斯加
13,索馬利亞小型港口遭IS相關組織攻占 ,2016.10.27, 索馬利亞
14,肯亞宣布所有死刑者減刑為終生監禁 ,2016.10.26, 肯亞
15,利比亞政府軍自IS救出13名外國人質 ,2016.10.25, 利比亞
16,"衣索比亞鎮壓反政府示威，逮捕超過1,600人 ",2016.10.21, 衣索比亞
17,剛果前副總統收買證人，國際刑事法院判有罪 ,2016.10.20, 剛果民主共和國
18,索馬利亞「青年黨」攻擊戰略重鎮阿夫戈耶 ,2016.10.19, 索馬利亞
19,流亡50餘年，盧安達末代國王於華府辭世 ,2016.10.18, 盧安達
20,美國志工於尼日住家遭綁 ,2016.10.17, 尼日
21,博科聖地釋放21名兩年前遭綁女學生 ,2016.10.14, 奈及利亞
22,蒲隆地國會投票通過退出國際刑事法院 ,2016.10.13, 蒲隆地
23,聯合國：剛果政治危機擴大，恐引發「大規模」暴動 ,2016.10.12, 剛果民主共和國
24,「聯合國」報告指控蒲隆地政府嚴重侵犯人權 ,2016.10.11, 蒲隆地
25,美公民在衣索比亞遭攻擊，傷重不治 ,2016.10.06, 衣索比亞
26,剛果下通牒，要求750名南蘇丹士兵一週內離開 ,2016.10.05, 剛果
27,衣索比亞反政府示威釀成踩踏事件，多人死傷 ,2016.10.03, 衣索匹亞
28,索馬利亞：美軍空襲誤殺平民 ,2016.09.30, 索馬利亞
29,OPEC八年來首次同意減產，油價聞訊大漲5% ,2016.09.29, 阿爾及利亞
30,國際特赦組織指控蘇丹政府動用化武 ,2016.09.29, 蘇丹
