"","title","date","place"
"1","哥倫比亞政府與叛軍FARC簽署新的和平協議 ","2016.11.25"," 哥倫比亞"
"2","哥倫比亞將與叛軍FARC簽署新的和平協定 ","2016.11.24"," 哥倫比亞"
"3","玻利維亞大旱、水庫見底，學校提早停課 ","2016.11.24"," 玻利維亞"
"4","海地展開計票工作 ","2016.11.22"," 海地"
"5","APEC領袖重申對抗各種形式貿易保護主義 ","2016.11.21"," 祕魯"
"6","海地舉行總統大選 ","2016.11.21"," 海地"
"7","APEC年度會議在秘魯利馬展開 ","2016.11.18"," 秘魯"
"8","中美洲聯合部隊展開行動打擊幫派及組織犯罪 ","2016.11.17"," 宏都拉斯"
"9","聯合國：奈及利亞7萬5,000名兒童面臨餓死風險 ","2016.11.16"," 奈及利亞"
"10","響應慈悲禧年，古巴特赦787名囚犯 ","2016.11.16"," 古巴"
"11","委國總統：不會提前舉行大選 ","2016.11.15"," 委內瑞拉"
"12","哥倫比亞政府與叛軍簽署新和平協議 ","2016.11.14"," 哥倫比亞"
"13","墨西哥稱願與川普討論北美自由貿易協定 ","2016.11.11"," 墨西哥"
"14","古巴將展開全國軍事演習 ","2016.11.10"," 古巴"
"15","里約熱內盧州公務員抗議撙節措施 ","2016.11.10"," 巴西"
"16","尼加拉瓜總統奧蒂嘉連續第三度當選 ","2016.11.08"," 尼加拉瓜"
"17","巴西政府凍結里約熱內盧州銀行帳戶 ","2016.11.08"," 巴西"
"18","尼加拉瓜總統可望再度連任 ","2016.11.07"," 尼加拉瓜"
"19","回應反對陣營訴求，委內瑞拉釋放3政治犯 ","2016.11.02"," 委內瑞拉"
"20","巴西市政選舉結果出爐，支持政府派政黨大勝 ","2016.11.01"," 巴西"
"21","薩爾瓦多前總統及多名高層涉貪遭逮 ","2016.11.01"," 薩爾瓦多"
"22","委內瑞拉反對黨呼籲民眾展開大罷工 ","2016.10.27"," 委內瑞拉"
"23","委內瑞拉國會決定對總統展開審判 ","2016.10.26"," 委內瑞拉"
"24","哥倫比亞政府與FARC重啟和平談判 ","2016.10.25"," 哥倫比亞"
"25","委內瑞拉中止罷免總統之公投連署 ","2016.10.24"," 委內瑞拉"
"26","巴西儲水壩潰堤致鐵礦廢料外溢，檢方起訴21人 ","2016.10.21"," 巴西"
"27","巴西眾院前議長古尼雅涉貪被捕 ","2016.10.20"," 巴西"
"28","憂影響美國大選，厄瓜多坦承限制亞桑傑上網 ","2016.10.19"," 厄瓜多"
"29","哥倫比亞第二大叛軍：不會倉促簽定和平協議 ","2016.10.18"," 哥倫比亞"
"30","潘基文赴海地查看災情 ","2016.10.17"," 海地"
"31","哥倫比亞民眾上街要求恢復和平協議 ","2016.10.14"," 哥倫比亞"
"32","治安每況愈下，巴西里約公安廳長請辭下台 ","2016.10.12"," 巴西"
"33","颶風馬修重創海地，官員憂心爆發飢荒與霍亂 ","2016.10.11"," 海地"
"34","颶風「馬修」重創海地，死亡人數增至264人 ","2016.10.07"," 海地"
"35","颶風馬修重創海地，總統大選被迫再次延後 ","2016.10.06"," 海地"
"36","颶風「馬修」襲海地，狂風暴雨釀災情 ","2016.10.05"," 海地"
"37","哥倫比亞總統：不會放棄，將繼續推動和平 ","2016.10.04"," 哥倫比亞"
"38","強大颶風「馬修」逼近海地 ","2016.10.04"," 海地"
"39","哥倫比亞公投否決與FARC叛軍的和平協議 ","2016.10.03"," 哥倫比亞"
"40","哥倫比亞第二大叛軍ELN：準備好與政府展開和平談判 ","2016.09.30"," 哥倫比亞"
"41","墨西哥民眾上街抗議，反對同性婚姻合法化 ","2016.09.26"," 墨西哥"
"42","巴西眾議院前議長遭革職 ","2016.09.14"," 巴西"
"43","墨西哥同性婚姻支持人士上街遊行 ","2016.09.13"," 墨西哥"
"44","哥倫比亞反叛團體釋放首批兒童兵 ","2016.09.12"," 哥倫比亞"
"45","巴西左派發動反新政府示威遊行 ","2016.09.08"," 巴西"
"46","哥倫比亞：本月底與FARC叛軍簽署和平協議 ","2016.09.05"," 哥倫比亞"
"47","阿根廷數萬人上街抗議政府裁員政策 ","2016.09.05"," 阿根廷"
"48","羅賽芙下台，拉美左派政府紛表不滿 ","2016.09.02"," 巴西"
"49","巴西總統羅賽芙遭彈劾下台 ","2016.09.01"," 巴西"
"50","掃毒疑似處決平民，墨國警察總長遭撤職 ","2016.08.31"," 墨西哥"
"51","巴西總統首赴參議院為彈劾案辯護 ","2016.08.30"," 巴西"
"52","哥倫比亞左派叛軍正式宣布無限期停火 ","2016.08.29"," 哥倫比亞"
"53","玻利維亞內政部次長遭礦工殺害 ","2016.08.26"," 玻利維亞"
"54","哥倫比亞政府和叛軍簽署歷史性和平協議 ","2016.08.25"," 哥倫比亞"
"55","委內瑞拉官員連署罷免總統，恐遭馬杜洛報復 ","2016.08.24"," 委內瑞拉"
"56","墨西哥總統法律學士論文被控涉嫌抄襲 ","2016.08.23"," 墨西哥"
"57","衣索比亞馬拉松選手於里約奧運冒死抗議政府暴行 ","2016.08.22"," 巴西"
"58","美國奧運金牌泳將疑謊報里約遇搶 ","2016.08.19"," 巴西"
"59","海地霍亂疫情，「聯合國」首度坦承疏失 ","2016.08.18"," 海地"
"60","墨西哥大毒梟之子疑遭敵對黑幫擄走 ","2016.08.17"," 墨西哥"
"61","墨西哥黑幫闖度假餐廳強擄十多人 ","2016.08.16"," 墨西哥"
"62","古巴前領導人卡斯楚慶祝90大壽 ","2016.08.15"," 古巴"
"63","哥倫比亞與委內瑞拉13日重新開放部分邊境 ","2016.08.12"," 委內瑞拉"
"64","波哥大當局拆毀惡名昭彰的「布朗克斯貧民區」 ","2016.08.11"," 哥倫比亞"
"65","巴西參議院投票通過，將對羅塞芙展開彈劾審判 ","2016.08.10"," 巴西"
"66","委內瑞拉公布罷免總統公投時程表，反對派強烈不滿 ","2016.08.10"," 委內瑞拉"
"67","熱帶風暴引發土石流，墨西哥搜尋生還者 ","2016.08.09"," 墨西哥"
"68","熱帶颶風橫掃墨西哥，造成38死 ","2016.08.08"," 墨西哥"
"69","阿根廷法官下令逮捕人權組織「五月廣場母親」創辦人 ","2016.08.05"," 阿根廷"
"70","熱帶颶風來勢洶洶，貝里斯嚴陣以待 ","2016.08.04"," 貝里斯"
"71","委內瑞拉罷免總統公投有譜 ","2016.08.02"," 委內瑞拉"
"72","國際奧委會將成立3人小組，決定俄運動員最終參賽權 ","2016.08.01"," 巴西"
"73","瓜地馬拉法官下令對前總統展開貪污調查 ","2016.07.29"," 瓜地馬拉"
"74","秘魯新總統庫辛斯基宣誓就職 ","2016.07.29"," 秘魯"
"75","阿根廷宣布協助女性暴力受害者的新計畫 ","2016.07.28"," 阿根廷"
"76","委內瑞拉反對派上街抗議選舉委員會延宕公投進度 ","2016.07.28"," 委內瑞拉"
"77","秘魯前總統藤森謙也二度申請特赦遭拒 ","2016.07.27"," 秘魯"
"78","墨西哥市長協會要求政府提供安全保護 ","2016.07.26"," 墨西哥"
"79","巴西當局持續搜尋準備對奧運發動恐攻之嫌犯 ","2016.07.25"," 巴西"
"80","巴西逮捕10名準備在奧運期間發動恐攻的嫌犯 ","2016.07.22"," 巴西"
"81","巴拿馬就美國入侵巴拿馬事件展開調查 ","2016.07.21"," 巴拿馬"
"82","哥倫比亞將禁止委內瑞拉再度短暫開放邊界 ","2016.07.20"," 哥倫比亞"
"83","墨西哥總統為妻子購屋醜聞道歉 ","2016.07.20"," 墨西哥"
"84","委內瑞拉二度開啟邊界，逾10萬人湧入哥國購買物資 ","2016.07.18"," 委內瑞拉"
"85","「里約奧運」：氣候因素可望降低「茲卡」傳染率 ","2016.07.15"," 巴西"
"86","巴西為「里約奧運」增撥維安經費 ","2016.07.14"," 巴西"
"87","深陷經濟危機，委內瑞拉尋求巴西庇護人數大增 ","2016.07.13"," 巴西"
"88","委內瑞拉總統不滿「花旗」關閉該國外匯帳戶 ","2016.07.12"," 委內瑞拉"
"89","委內瑞拉上萬民眾湧入哥倫比亞搶購民生物資 ","2016.07.11"," 委內瑞拉"
"90","巴西代總統：「里約奧運」維安及「茲卡」風險無虞 ","2016.07.07"," 巴西"
"91","智利總統推動高等教育免費方案 ","2016.07.06"," 智利"
"92","委內瑞拉2015年石油收入大減4成 ","2016.07.04"," 委內瑞拉"
"93","阿根廷前總統費南德茲涉貪，法官下令搜索多處房產 ","2016.07.01"," 阿根廷"
"94","瓜地馬拉長期乾旱導致數十萬人面臨飢荒 ","2016.06.30"," 瓜地馬拉"
"95","巴西員警機場高舉「歡迎光臨地獄」抗議欠薪 ","2016.06.29"," 巴西"
"96","哥倫比亞軍用直升機墜毀，17人喪生 ","2016.06.28"," 哥倫比亞"
"97","巴拿馬運河拓寬啟用，陸貨輪率先通行 ","2016.06.27"," 巴拿馬"
"98","美洲國家組織：馬杜洛為委國人道危機罪魁禍首 ","2016.06.24"," 委內瑞拉"
"99","哥倫比亞政府與FARC叛軍達成停火協議 ","2016.06.23"," 哥倫比亞"
"100","委內瑞拉缺糧暴動不斷，美將派特使協助朝野對話 ","2016.06.22"," 委內瑞拉"
"101","槍手闖入委內瑞拉央行後遭擊斃 ","2016.06.21"," 委內瑞拉"
"102","墨西哥教師抗議演變為警民衝突，導致6人死亡 ","2016.06.20"," 墨西哥"
"103","巴西泰梅爾政府，第3位部長請辭下台 ","2016.06.17"," 巴西"
"104","臨時總統任期屆滿，海地恐陷入權力真空 ","2016.06.16"," 海地"
"105","巴西代理總統捲入巴西國營石油公司賄賂醜聞 ","2016.06.16"," 巴西"
"106","世衛：巴西奧運散播茲卡病毒的風險極低 ","2016.06.15"," 巴西"
"107","委內瑞拉總統訴請最高法院駁回罷免公投提案 ","2016.06.14"," 委內瑞拉"
"108","委內瑞拉總統：今年不會舉行罷免公投 ","2016.06.13"," 委內瑞拉"
"109","祕魯總統候選人藤森惠子承認敗選 ","2016.06.13"," 祕魯"
"110","祕魯總統大選勝負難分，決勝海外選民 ","2016.06.08"," 祕魯"
"111","祕魯總統大選出口民調：2位候選人難分軒輊 ","2016.06.06"," 祕魯"
"112","古巴總統：不會重回「美洲國家組織」 ","2016.06.06"," 古巴"
"113","秘魯將舉行總統大選第2輪投票，候選人民調差距甚微 ","2016.06.04"," 祕魯"
"114","委國選舉委員會延後與反對黨召開會議 ","2016.06.03"," 委內瑞拉"
"115","「美洲國家組織」呼籲就委內瑞拉民主危機召開緊急會議 ","2016.06.01"," 委內瑞拉"
"116","巴西臨時政府又一部長請辭 ","2016.05.31"," 巴西"
"117","茲卡病毒肆虐，WHO拒絕延後巴西奧運或改變場地 ","2016.05.30"," 巴西"
"118","智利學生上街要求教改，爆發警民衝突 ","2016.05.27"," 智利"
"119","巴西國會批准高達1,705億元公共財政赤字 ","2016.05.26"," 巴西"
"120","古巴將允許私人中小企業合法化 ","2016.05.25"," 古巴"
"121","巴西企劃部長捲入醜聞，宣布暫離職務 ","2016.05.24"," 巴西"
"122","委內瑞拉經濟陷入混亂，通膨率飆升至720% ","2016.05.23"," 委內瑞拉"
"123","阿根廷國會通過「反裁員法」 ","2016.05.20"," 阿根廷"
"124","委內瑞拉最高法院裁定緊急狀態令合憲 ","2016.05.20"," 委內瑞拉"
"125","巴西財長提名新任央行總裁，盼挽回投資人信心 ","2016.05.18"," 巴西"
"126","墨西哥總統提議修憲將同性婚姻合法化 ","2016.05.18"," 墨西哥"
"127","哥倫比亞政府與叛軍就釋放童兵達成協議 ","2016.05.17"," 哥倫比亞"
"128","多明尼加大選，現任總統梅迪納自行宣布當選 ","2016.05.17"," 多明尼加"
"129","委內瑞拉總統宣布緊急狀態延長60天，在野黨強烈抨擊 ","2016.05.16"," 委內瑞拉"
"130","多明尼加大選，現任總統有望首輪勝出 ","2016.05.16"," 多明尼加"
"131","巴西參議院通過彈劾案，總統羅賽芙遭停職 ","2016.05.13"," 巴西"
"132","巴西參議院將表決是否彈劾總統羅賽芙 ","2016.05.12"," 巴西"
"133","「巴拿馬文件」資料庫正式上線 ","2016.05.11"," 巴拿馬"
"134","巴西總統遭參院委員會報告人建議彈劾 ","2016.05.05"," 巴西"
"135","巴西展開「里約奧運」聖火傳遞活動 ","2016.05.04"," 巴西"
"136","委內瑞拉反對派擬發動公投罷免總統 ","2016.05.03"," 委內瑞拉"
"137","對抗缺電問題，委內瑞拉時間調快半小時 ","2016.05.02"," 委內瑞拉"
"138","中華民國海軍敦睦遠航支隊在巴拿馬舉辦歡迎酒會 ","2016.04.29"," 巴拿馬"
"139","臺灣向宏都拉斯捐贈「茲卡」防疫設備 ","2016.04.28"," 宏都拉斯"
"140","「臺灣文化嘉年華」在哥倫比亞圓滿落幕 ","2016.04.28"," 哥倫比亞"
"141","巴西：今年「茲卡」疑似病例逾9萬起 ","2016.04.27"," 巴西"
"142","臺灣向瓜國副總統辦公室捐贈電腦 ","2016.04.27"," 瓜地馬拉"
"143","中華民國海軍敦睦支隊訪問薩爾瓦多 ","2016.04.25"," 薩爾瓦多"
"144","籌災後重建資金，厄瓜多課徵富人稅 ","2016.04.22"," 厄瓜多"
"145","墨西哥總統提案將藥用大麻合法化 ","2016.04.22"," 墨西哥"
"146","墨西哥石化工廠爆炸，3死百餘人受傷 ","2016.04.21"," 墨西哥"
"147","打擊犯罪集團，薩爾瓦多部署特種部隊 ","2016.04.21"," 薩爾瓦多"
"148","厄瓜多強震，國際救援湧入災區 ","2016.04.20"," 厄瓜多"
"149","瓜地馬拉前總統被控收受船務公司賄款 ","2016.04.19"," 瓜地馬拉"
"150","巴西眾議院通過總統彈劾案 ","2016.04.19"," 巴西"
"151","厄瓜多7.8強震，至少272死 ","2016.04.18"," 厄瓜多爾"
"152","捲入洗錢案，阿根廷前總統聲稱遭政治迫害 ","2016.04.15"," 阿根廷"
"153","哥倫比亞出現首起茲卡病毒引發之小頭症病例 ","2016.04.15"," 哥倫比亞"
"154","對洩密律師事務所提告，巴拿馬檢方：沒有證據 ","2016.04.14"," 巴拿馬"
"155","支持彈劾羅賽芙，巴西進步黨退出執政聯盟 ","2016.04.13"," 巴西"
"156","巴西眾議院特別審查委員會通過總統彈劾案，啟動彈劾程序 ","2016.04.12"," 巴西"
"157","委內瑞拉最高法院裁定特赦案違憲 ","2016.04.12"," 委內瑞拉"
"158","出口民調：祕魯總統大選首輪投票，藤森慶子勝出 ","2016.04.11"," 祕魯"
"159","「莫薩克馮賽卡」薩爾瓦多辦公室遭搜索 ","2016.04.11"," 薩爾瓦多"
"160","委內瑞拉總統揚言修憲，縮短國會任期 ","2016.04.08"," 委內瑞拉"
"161","憂川普反墨言論，墨西哥政府指派新任駐美大使 ","2016.04.08"," 墨西哥"
"162","巴拿馬文件風暴：巴拿馬政府宣布設立獨立委員會 ","2016.04.07"," 巴拿馬"
"163","駐多明尼加區美珍命案，多國警方宣布偵破 ","2016.04.06"," 多明尼加"
"164","「巴拿馬文件」曝光，事務所創辦人：遭駭客入侵 ","2016.04.06"," 巴拿馬"
"165","14年償債糾紛終落幕，阿根廷將重返國際資本市場 ","2016.04.01"," 阿根廷"
"166","巴西奧運開幕倒數，負責維安的三軍統帥突請辭 ","2016.04.01"," 巴西"
"167","委內瑞拉國會通過政治犯特赦法案，總統揚言否決 ","2016.03.31"," 委內瑞拉"
"168","哥倫比亞第二大叛軍組織宣布將與政府展開和談 ","2016.03.31"," 哥倫比亞"
"169","巴西最大黨宣布退出執政聯盟 ","2016.03.30"," 巴西"
"170","巴西聯合政府面臨解體危機 ","2016.03.29"," 巴西"
"171","古巴前領導人卡斯楚：不需要美國施捨 ","2016.03.29"," 古巴"
"172","不滿智利用水不付費，玻利維亞揚言向國際法院提告 ","2016.03.28"," 玻利維亞"
"173","世衛組織：巴拿馬出現與茲卡病毒有關之小頭症病例 ","2016.03.25"," 巴拿馬"
"174","歐巴馬向阿根廷獨裁時代受難者致敬 ","2016.03.25"," 阿根廷"
