,date,area,place,title
1,2016.11.18,Africa, 莫三比克,莫三比克運油車爆炸，釀至少73死 
2,2016.11.17,Africa, 肯亞,肯亞決定延後半年關閉達達阿比難民營 
3,2016.11.15,Africa, 奈及利亞,奈及利亞什葉派穆斯林與警方發生衝突，釀至少9死 
4,2016.11.14,Africa, 埃及,IMF同意提供埃及120億美元貸款紓困 
5,2016.11.11,Africa, 南非,南非國會對總統進行不信任投票 
6,2016.11.09,Africa, 奈及利亞,奈及利亞礦場遭槍手攻擊，釀逾30死 
7,2016.11.07,Africa, 南非,被指控涉貪，南非總統稱不害怕坐牢 
8,2016.11.04,Africa, 南非,南非數千民眾上街要求涉貪總統下台 
9,2016.11.04,Africa, 利比亞,聯合國：利比亞外海2起船難釀至少239死 
10,2016.11.03,Africa, 南蘇丹,肯亞退出南蘇丹維和任務 
11,2016.11.02,Africa, 摩洛哥,執法致魚販喪命，摩洛哥民眾上街抗議 
12,2016.10.28,Africa, 馬達加斯加,聯合國：馬達加斯加150萬人面臨飢荒 
13,2016.10.27,Africa, 索馬利亞,索馬利亞小型港口遭IS相關組織攻占 
14,2016.10.26,Africa, 肯亞,肯亞宣布所有死刑者減刑為終生監禁 
15,2016.10.25,Africa, 利比亞,利比亞政府軍自IS救出13名外國人質 
16,2016.10.21,Africa, 衣索比亞,"衣索比亞鎮壓反政府示威，逮捕超過1,600人 "
17,2016.10.20,Africa, 剛果民主共和國,剛果前副總統收買證人，國際刑事法院判有罪 
18,2016.10.19,Africa, 索馬利亞,索馬利亞「青年黨」攻擊戰略重鎮阿夫戈耶 
19,2016.10.18,Africa, 盧安達,流亡50餘年，盧安達末代國王於華府辭世 
20,2016.10.17,Africa, 尼日,美國志工於尼日住家遭綁 
21,2016.10.14,Africa, 奈及利亞,博科聖地釋放21名兩年前遭綁女學生 
22,2016.10.13,Africa, 蒲隆地,蒲隆地國會投票通過退出國際刑事法院 
23,2016.10.12,Africa, 剛果民主共和國,聯合國：剛果政治危機擴大，恐引發「大規模」暴動 
24,2016.10.11,Africa, 蒲隆地,「聯合國」報告指控蒲隆地政府嚴重侵犯人權 
25,2016.10.06,Africa, 衣索比亞,美公民在衣索比亞遭攻擊，傷重不治 
26,2016.10.05,Africa, 剛果,剛果下通牒，要求750名南蘇丹士兵一週內離開 
27,2016.10.03,Africa, 衣索匹亞,衣索比亞反政府示威釀成踩踏事件，多人死傷 
28,2016.09.30,Africa, 索馬利亞,索馬利亞：美軍空襲誤殺平民 
29,2016.09.29,Africa, 阿爾及利亞,OPEC八年來首次同意減產，油價聞訊大漲5% 
30,2016.09.29,Africa, 蘇丹,國際特赦組織指控蘇丹政府動用化武 
31,2016.09.22,Africa, 埃及,移民船在埃及外海翻覆，釀至少42死 
32,2016.09.22,Africa, 衣索比亞,衣索比亞將打造工業園區，以提供難民工作機會 
33,2016.09.21,Africa, 索馬利亞,索馬利亞逾500萬人面臨缺糧問題 
34,2016.09.20,Africa, 剛果民主共和國,剛果民主共和國爆發警民衝突，釀至少17死 
35,2016.09.19,Africa, 中非共和國,中非叛軍組織被控屠殺26人 
36,2016.09.19,Africa, 南蘇丹,「聯合國難民署」：來自南蘇丹的難民破百萬人 
