"","title","date","place"
"1","緬甸北部動亂9死，3,000人逃往中國大陸 ","2016.11.25"," 緬甸"
"2","日澳將簽署新安全協議 ","2016.11.25"," 日本"
"3","印度擬將高速公路作為戰機緊急起降跑道 ","2016.11.24"," 印度"
"4","查密友干政案，南韓檢調搜索樂天、SK集團 ","2016.11.24"," 南韓"
"5","土耳其撤回性侵未成年少女可免責之法案 ","2016.11.23"," 土耳其"
"6","考量成本及安全疑慮，越南宣布停建核電廠 ","2016.11.23"," 越南"
"7","南韓反對黨有意彈劾總統朴槿惠 ","2016.11.23"," 韓國"
"8","日本東北部外海發生7.4強震，氣象廳發布海嘯警報 ","2016.11.22"," 日本"
"9","菲律賓擬將黃岩島海域設為禁漁區 ","2016.11.22"," 菲律賓"
"10","安倍：TPP少了美國，就沒有意義 ","2016.11.22"," 日本"
"11","印度火車出軌，至少百餘人罹難 ","2016.11.21"," 印度"
"12","敘利亞外長：盼川普停止軍援叛軍組織 ","2016.11.21"," 敘利亞"
"13","安倍：我對川普很有信心 ","2016.11.18"," 日本"
"14","南韓舉行大學入學考，上班時間、股市開市延後一小時 ","2016.11.18"," 南韓"
"15","越南：已停止推動TPP ","2016.11.17"," 越南"
"16","安倍盼與川普建立互信，重申美日同盟之重要性 ","2016.11.17"," 日本"
"17","日本一週內修復福岡博多車站前塌陷大洞 ","2016.11.16"," 日本"
"18","餘震不斷，紐西蘭出動直升機撤離受困遊客 ","2016.11.15"," 紐西蘭"
"19","日本將派自衛隊赴南蘇丹執行馳援護衛任務 ","2016.11.15"," 日本"
"20","南韓檢方本週將約談總統朴槿惠 ","2016.11.14"," 南韓"
"21","紐西蘭7.8強震，至少2死 ","2016.11.14"," 紐西蘭"
"22","防撞天燈，泰國清邁機場取消下週多個航班 ","2016.11.11"," 泰國"
"23","塔利班攻擊德國駐阿富汗領館，至少2死 ","2016.11.11"," 阿富汗"
"24","安倍擬17日與川普在紐約會面 ","2016.11.10"," 日本"
"25","投資人恢復冷靜，亞股10日上演反彈行情 ","2016.11.10"," 日本"
"26","打擊貪腐，印度總理宣布廢除大面額紙鈔 ","2016.11.09"," 印度"
"27","澳洲國會否決舉行同性婚姻公投草案 ","2016.11.08"," 澳洲"
"28","調查密友干政醜聞，南韓檢方搜索三星集團 ","2016.11.08"," 南韓"
"29","日媒：日印預計本週簽署核能合作協議 ","2016.11.07"," 日本"
"30","南韓檢方逮捕朴槿惠2名前幕僚 ","2016.11.07"," 南韓"
"31","深陷密友干政醜聞，南韓總統公開道歉 ","2016.11.04"," 南韓"
"32","黎巴嫩總統提名遜尼派領導人擔任總理 ","2016.11.04"," 黎巴嫩"
"33","日相安倍與翁山蘇姬會談，承諾提供緬甸金援 ","2016.11.03"," 日本"
"34","印尼快艇翻覆，釀至少18死 ","2016.11.03"," 印尼"
"35","南韓政府提名新總理及財政部長 ","2016.11.02"," 南韓"
"36","伊拉克政府軍首度攻進摩蘇爾市區 ","2016.11.02"," 伊拉克"
"37","南韓總統朴槿惠密友崔順實接受檢方調查 ","2016.11.01"," 南韓"
"38","印度8名越獄囚犯遭警方擊斃 ","2016.11.01"," 印度"
"39","密友涉嫌干政，執政黨要求朴槿惠成立中立內閣 ","2016.10.31"," 南韓"
"40","澳洲擬對搭船偷渡者祭出<U+7EC8>身簽證禁令 ","2016.10.31"," 澳洲"
"41","密友涉嫌干政，南韓總統朴槿惠支持率跌至新低 ","2016.10.28"," 南韓"
"42","日本天皇叔父三笠宮逝世，享嵩壽百歲 ","2016.10.28"," 日本"
"43","日菲領導人展開會談 ","2016.10.27"," 日本"
"44","敘利亞伊德利布省遭空襲，多名孩童死亡 ","2016.10.27"," 敘利亞"
"45","菲國總統杜特蒂訪日 ","2016.10.26"," 日本"
"46","巴基斯坦警校遇襲，伊斯蘭國及塔利班分支承認犯行 ","2016.10.26"," 巴基斯坦"
"47","巴基斯坦警察學校遇襲，釀至少44死 ","2016.10.25"," 巴基斯坦"
"48","印度警方擊斃至少24名毛派叛軍 ","2016.10.25"," 印度"
"49","庫德族戰士攻進摩蘇爾附近城鎮 ","2016.10.24"," 伊拉克"
"50","日本宇都宮市公園驚傳爆炸，釀1死3傷 ","2016.10.24"," 日本"
"51","土耳其空襲敘北庫德族，造成近200人喪生 ","2016.10.21"," 敘利亞"
"52","北韓20日再度試射飛彈，失敗收場 ","2016.10.21"," 北韓"
"53","菲律賓總統：準備向美國「說再見」 ","2016.10.20"," 菲律賓"
"54","伊拉克政府軍擬收復境內最大基督教城鎮 ","2016.10.20"," 伊拉克"
"55","摩蘇爾收復戰開打，大馬加強維安阻聖戰士回流 ","2016.10.19"," 馬來西亞"
"56","新加坡展開歷年最大反恐演習 ","2016.10.18"," 新加坡"
"57","菲政府軍8月間擊斃逾百名「阿布沙伊夫」成員 ","2016.10.18"," 菲律賓"
"58","北韓試射中程飛彈以失敗收場 ","2016.10.17"," 北韓"
"59","伊拉克準備展開摩蘇爾收復戰 ","2016.10.17"," 伊拉克"
"60","泰王蒲美蓬駕崩，全國舉哀1年 ","2016.10.14"," 泰國"
"61","推動法律改革，印尼矢言打擊走私及索賄公務員 ","2016.10.13"," 印尼"
"62","菲政府邀「聯合國」派員調查「法外制裁」 ","2016.10.13"," 菲律賓"
"63","喀布爾什葉派聖地遭槍手攻擊，釀14死數十傷 ","2016.10.12"," 阿富汗"
"64","敦促北韓人民脫北，南韓總統促當局做好準備 ","2016.10.12"," 韓國"
"65","涉「一馬」弊案，新加坡再關閉1家瑞士銀行 ","2016.10.11"," 新加坡"
"66","「世衛組織」：「茲卡」有席捲亞洲之虞 ","2016.10.11"," 新加坡"
"67","以色列將於巴勒斯坦增闢屯墾區，美國強烈譴責 ","2016.10.07"," 以色列"
"68","巴基斯坦修補法律漏洞，「榮譽殺人」將處無期徒刑 ","2016.10.07"," 巴基斯坦"
"69","阿富汗獲國際援助152億美元 ","2016.10.06"," 阿富汗"
"70","涉嫌詐騙美國民眾，印度警方逮捕750名嫌犯 ","2016.10.06"," 印度"
"71","印尼空軍將於南海舉行歷來最大規模軍演 ","2016.10.05"," 印尼"
"72","沙烏地阿拉伯在波灣舉行實彈演習 ","2016.10.05"," 沙烏地阿拉伯"
"73","塔利班攻擊阿富汗東北大城昆都茲 ","2016.10.04"," 阿富汗"
"74","日本細胞自噬專家大隅良典獨得諾貝爾醫學獎 ","2016.10.04"," 日本"
"75","泰國政府展現打貪決心，將設立反貪法院 ","2016.10.03"," 泰國"
"76","印度批准巴黎氣候協定 ","2016.10.03"," 印度"
"77","菲總統杜特蒂：美菲10月聯合軍演是「最後一次」 ","2016.09.30"," 菲律賓"
"78","喀什米爾邊境再爆衝突，印度與巴基斯坦各執一詞 ","2016.09.30"," 巴基斯坦"
"79","美軍空襲阿富汗，傳造成無辜平民傷亡 ","2016.09.29"," 阿富汗"
"80","以色列前總統暨諾貝爾和平獎得主裴瑞斯辭世 ","2016.09.29"," 以色列"
"81","約旦知名作家疑因冒犯伊斯蘭遭槍殺 ","2016.09.26"," 約旦"
"82","印度將批准巴黎氣候協定 ","2016.09.26"," 印度"
"83","南韓：是時候重新考慮北韓的「聯合國」會籍 ","2016.09.23"," 南韓"
"84","菲律賓總統計畫10月訪問日「中」 ","2016.09.23"," 菲律賓"
"85","向北韓示威，美國2架轟炸機再度飛越南韓 ","2016.09.22"," 南韓"
"86","喀什米爾地區爆衝突，印巴關係陷入高度緊張 ","2016.09.22"," 印度"
"87","日銀維持利率不變，改設長期利率目標 ","2016.09.21"," 日本"
"88","敘利亞停火協議結束，「聯合國」救援車隊遭空襲 ","2016.09.20"," 敘利亞"
"89","北韓：火箭發動機測試成功 ","2016.09.20"," 北韓"
"90","日本將提供28億美元援助難民及移民 ","2016.09.20"," 日本"
"91","泰國湄南河發生船難，多人死傷 ","2016.09.19"," 泰國"
"92","美軍誤擊敘利亞政府軍，停火協議瀕臨破局 ","2016.09.19"," 敘利亞"
"93","北韓東北地區洪災，十萬人無家可歸 ","2016.09.14"," 北韓"
"94","澳洲政府計畫於明年2月舉行同性婚姻公投 ","2016.09.14"," 澳洲"
"95","北韓隨時將再次核試，美軍派轟炸機示威 ","2016.09.13"," 北韓"
"96","敘利亞停火協議正式生效 ","2016.09.13"," 敘利亞"
"97","北韓進行今年第2次核試 ","2016.09.10"," 北韓"
"98","美俄就敘利亞問題達成協議 ","2016.09.10"," 敘利亞"
