"","title","date","place"
"1","香港法院判決游蕙禎及梁頌恆喪失議員資格 ","2016.11.16"," 香港"
"2","香港本土派議員宣誓就職再次受阻 ","2016.11.03"," 香港"
"3","香港立法會3議員宣誓遭判定無效 ","2016.10.14"," 香港"
"4","美婦女議題大使赴台推動雙邊合作 ","2016.09.07"," 台灣"
"5","香港「非建制派」奪下立法會35直選席次中19席 ","2016.09.06"," 香港"
"6","G20杭州峰會落幕，各國矢言解決鋼鐵產能過剩問題 ","2016.09.06"," 中國大陸"
"7","中國大陸發射全球首枚量子衛星 ","2016.08.18"," 中國大陸"
"8","香港學運領袖被判社會服務，免於牢獄之災 ","2016.08.16"," 香港"
"9","美國飛彈驅逐艦抵達青島進行交流 ","2016.08.08"," 中國大陸"
"10","中國大陸9月將與俄羅斯在南海舉行聯合演習 ","2016.07.29"," 中國大陸"
"11","台灣漁船登太平島，攜21桶淡水返航 ","2016.07.27"," 台灣"
"12","華北地區洪災，百餘人死亡失蹤 ","2016.07.25"," 中國大陸"
"13","香港3名學運領袖被判有罪 ","2016.07.22"," 香港"
"14","中國大陸將在南海再次舉行軍演 ","2016.07.18"," 中國大陸"
"15","拒絕接受南海仲裁結果，台灣派艦巡航南海 ","2016.07.14"," 台灣"
"16","台灣：南海仲裁結果「完全無法接受」 ","2016.07.13"," 台灣"
"17","俄國總統出訪北京，強調雙邊戰略夥伴關係 ","2016.06.27"," 中國大陸"
"18","日媒：中國大陸揚言退出海洋法公約 ","2016.06.22"," 中國大陸"
"19","德國總理訪中，強調法治重要性 ","2016.06.13"," 中國大陸"
"20","「美中戰略暨經濟對話」閉幕，南海問題仍無共識 ","2016.06.08"," 中國大陸"
"21","美中第8輪「戰略暨經濟對話」在北京登場 ","2016.06.07"," 中國大陸"
"22","台灣總統蔡英文登沱江艦出航，決心推動國防自主 ","2016.06.06"," 台灣"
"23","「美中戰略暨經濟對話」6月初在北京召開 ","2016.05.31"," 中國大陸"
"24","美國重量級議員宣布6月隨團訪臺 ","2016.05.23"," 台灣"
"25","眼見為憑，臺灣邀請海牙仲裁庭登太平島 ","2016.05.16"," 台灣"
"26","北京拒絕德國會人權委員會主席訪陸 ","2016.05.13"," 中國大陸"
"27","不滿漁船遭扣，臺灣召見駐日代表並展開護漁任務 ","2016.05.02"," 台灣"
"28","馬總統：日本沖之鳥「是礁非島」 ","2016.04.29"," 臺灣"
"29","港「泛民」中青代發表「香港前途決議文」 ","2016.04.22"," 香港"
"30","美國「全球入境計畫」納入臺灣 ","2016.04.07"," 臺灣"
"31","美國對臺灣消除核武原料表示肯定 ","2016.04.01"," 臺灣"
"32","雙英會：承諾政權順利轉移 ","2016.03.31"," 台灣"
"33","馬總統邀請菲方代表與國際仲裁員前往太平島參觀 ","2016.03.24"," 台灣"
"34","宣示南海主權，臺灣政府率媒體團登太平島 ","2016.03.23"," 臺灣"
"35","印尼抗議中國大陸海警船侵犯納土納海域 ","2016.03.21"," 中國大陸"
"36","人權紀錄遭批評，北京召集親政府學者反擊美國 ","2016.03.14"," 中國大陸"
"37","美日等12國同聲譴責中國大陸打壓維權人士 ","2016.03.11"," 中國大陸"
"38","在臺日本留學生舉辦活動感謝臺灣對311地震之援助 ","2016.03.07"," 台灣"
"39","臺南震災追思會，弔念117名罹難者 ","2016.03.01"," 台灣"
"40","中國大陸將參加環太平洋軍演 ","2016.02.26"," 中國大陸"
"41","香港無線電視台新聞使用簡體字字幕，引發民眾批評 ","2016.02.25"," 香港"
"42","中國大陸派遣戰機至永興島 ","2016.02.24"," 中國大陸"
"43","香港電影金像獎頒獎典禮遭大陸禁播 ","2016.02.24"," 香港"
"44","衛星照片顯示中國大陸在南沙人工島部署雷達設施 ","2016.02.23"," 中國大陸"
"45","臺灣行政院長：防災三法列優先法案 ","2016.02.22"," 臺灣"
"46","臺灣法院判決228受難日籍家屬勝訴 ","2016.02.18"," 台灣"
"47","臺灣首座慰安婦紀念館「阿嬤家」9月正式營運 ","2016.02.18"," 臺灣"
"48","中國大陸在西沙永興島部署飛彈 ","2016.02.18"," 中國大陸"
"49","揭「大飢荒」真相獲獎，中國大陸禁止記者赴美領獎 ","2016.02.16"," 中國大陸"
"50","匈牙利著名作家將出席「臺北國際書展」 ","2016.02.15"," 臺灣"
"51","臺南維冠大樓搜救行動結束，114人罹難 ","2016.02.15"," 台灣"
"52","中國大陸：已向北韓表明立場，不希望看到緊張升高 ","2016.02.05"," 中國大陸"
"53","香港銅鑼灣書店案，3名失蹤職員在中國大陸接受調查 ","2016.02.05"," 香港"
"54","臺灣玻璃高跟鞋教堂，一圓少女紅毯夢 ","2016.02.03"," 臺灣"
"55","2016年經濟自由度指數，香港排名全球首位 ","2016.02.03"," 香港"
