,date,year,month,day,area,place,title
1,2016/12/20,2016,12,20,Africa, 南蘇丹,潘基文：南蘇丹恐爆發大屠殺，安理會應實施武器禁運 
2,2016/12/20,2016,12,20,Africa, 剛果,總統任期屆滿不願交權，剛果恐爆動亂 
3,2016/12/19,2016,12,19,Africa, 辛巴威,辛巴威92歲總統將代表執政黨參選2018年總統大選 
4,2016/12/16,2016,12,16,Africa, 辛巴威,辛巴威總統有意角逐2018年總統大選 
5,2016/12/16,2016,12,16,Africa, 索馬利亞,索馬利亞首都一檢查站附近發生爆炸攻擊，造成6人死亡 
6,2016/12/15,2016,12,15,Africa, 甘比亞,聯合國西非特使：賈梅若不下台將面臨制裁 
7,2016/12/14,2016,12,14,Africa, 甘比亞,甘比亞總統拒絕承認敗選，風波持續延燒 
8,2016/12/14,2016,12,14,Africa, 埃及,開羅教堂爆炸釀24死，伊斯蘭國承認犯行 
9,2016/12/13,2016,12,13,Africa, 甘比亞,甘比亞總統反悔，拒絕承認敗選 
10,2016/12/13,2016,12,13,Africa, 奈及利亞,奈及利亞2女童自殺攻擊，釀1死18傷 
11,2016/12/12,2016,12,12,Africa, 迦納,迦納變天，在野黨領袖當選總統 
12,2016/12/12,2016,12,12,Africa, 奈及利亞,奈及利亞教堂倒塌，釀至少60死 
13,2016/12/9,2016,12,9,Africa, 喀麥隆,喀麥隆英語區多名反政府抗議民眾遭警方擊斃 
14,2016/12/8,2016,12,8,Africa, 肯亞,肯亞法院：政府蒐集感染愛滋學童資料已違憲 
15,2016/12/7,2016,12,7,Africa, 中非共和國,聯合國：41名維和人員涉嫌性侵中非共和國平民 
16,2016/12/7,2016,12,7,Africa, 迦納,迦納7日舉行總統大選 
17,2016/12/6,2016,12,6,Africa, 奈及利亞,含硫量超標，西非5國禁止進口歐洲骯髒燃料 
18,2016/12/6,2016,12,6,Africa, 剛果民主共和國,剛果開賽省爆發流血衝突，釀至少31死 
19,2016/12/5,2016,12,5,Africa, 甘比亞,甘比亞強人總統賈梅競選連任失敗 
20,2016/12/5,2016,12,5,Africa, 利比亞,利比亞首都爆發兩年來最嚴重的暴力衝突 
21,2016/12/2,2016,12,2,Africa, 衣索比亞,衣索比亞反對派領導人遭逮捕 
22,2016/12/2,2016,12,2,Africa, 南蘇丹,聯合國人權委員會：南蘇丹發生種族清洗 
23,2016/12/1,2016,12,1,Africa, 甘比亞,甘比亞總統大選，賈梅尋求第5任期 
24,2016/12/1,2016,12,1,Africa, 盧安達,盧安達就1994年種族大屠殺對20名法國官員展開調查 
25,2016/11/30,2016,11,30,Africa, 南非,南非執政黨表態挺總統祖馬 
26,2016/11/29,2016,11,29,Africa, 辛巴威,辛巴威發行新幣，外界憂通膨噩夢重演 
27,2016/11/28,2016,11,28,Africa, 索馬利亞,索馬利亞首都市集發生汽車炸彈攻擊，多人死傷 
28,2016/11/18,2016,11,18,Africa, 莫三比克,莫三比克運油車爆炸，釀至少73死 
29,2016/11/17,2016,11,17,Africa, 肯亞,肯亞決定延後半年關閉達達阿比難民營 
30,2016/11/15,2016,11,15,Africa, 奈及利亞,奈及利亞什葉派穆斯林與警方發生衝突，釀至少9死 
31,2016/11/14,2016,11,14,Africa, 埃及,IMF同意提供埃及120億美元貸款紓困 
32,2016/11/11,2016,11,11,Africa, 南非,南非國會對總統進行不信任投票 
33,2016/11/9,2016,11,9,Africa, 奈及利亞,奈及利亞礦場遭槍手攻擊，釀逾30死 
34,2016/11/7,2016,11,7,Africa, 南非,被指控涉貪，南非總統稱不害怕坐牢 
35,2016/11/4,2016,11,4,Africa, 南非,南非數千民眾上街要求涉貪總統下台 
36,2016/11/4,2016,11,4,Africa, 利比亞,聯合國：利比亞外海2起船難釀至少239死 
37,2016/11/3,2016,11,3,Africa, 南蘇丹,肯亞退出南蘇丹維和任務 
38,2016/11/2,2016,11,2,Africa, 摩洛哥,執法致魚販喪命，摩洛哥民眾上街抗議 
39,2016/10/28,2016,10,28,Africa, 馬達加斯加,聯合國：馬達加斯加150萬人面臨飢荒 
40,2016/10/27,2016,10,27,Africa, 索馬利亞,索馬利亞小型港口遭IS相關組織攻占 
41,2016/10/26,2016,10,26,Africa, 肯亞,肯亞宣布所有死刑者減刑為終生監禁 
42,2016/10/25,2016,10,25,Africa, 利比亞,利比亞政府軍自IS救出13名外國人質 
43,2016/10/21,2016,10,21,Africa, 衣索比亞,"衣索比亞鎮壓反政府示威，逮捕超過1,600人 "
44,2016/10/20,2016,10,20,Africa, 剛果民主共和國,剛果前副總統收買證人，國際刑事法院判有罪 
45,2016/10/19,2016,10,19,Africa, 索馬利亞,索馬利亞「青年黨」攻擊戰略重鎮阿夫戈耶 
46,2016/10/18,2016,10,18,Africa, 盧安達,流亡50餘年，盧安達末代國王於華府辭世 
47,2016/10/17,2016,10,17,Africa, 尼日,美國志工於尼日住家遭綁 
48,2016/10/14,2016,10,14,Africa, 奈及利亞,博科聖地釋放21名兩年前遭綁女學生 
49,2016/10/13,2016,10,13,Africa, 蒲隆地,蒲隆地國會投票通過退出國際刑事法院 
50,2016/10/12,2016,10,12,Africa, 剛果民主共和國,聯合國：剛果政治危機擴大，恐引發「大規模」暴動 
51,2016/10/11,2016,10,11,Africa, 蒲隆地,「聯合國」報告指控蒲隆地政府嚴重侵犯人權 
