,date,area,place,title
1,2016.11.18,Africa, 莫三比克,莫三比克運油車爆炸，釀至少73死 
2,2016.11.17,Africa, 肯亞,肯亞決定延後半年關閉達達阿比難民營 
3,2016.11.15,Africa, 奈及利亞,奈及利亞什葉派穆斯林與警方發生衝突，釀至少9死 
4,2016.11.14,Africa, 埃及,IMF同意提供埃及120億美元貸款紓困 
5,2016.11.11,Africa, 南非,南非國會對總統進行不信任投票 
6,2016.11.09,Africa, 奈及利亞,奈及利亞礦場遭槍手攻擊，釀逾30死 
7,2016.11.07,Africa, 南非,被指控涉貪，南非總統稱不害怕坐牢 
8,2016.11.04,Africa, 南非,南非數千民眾上街要求涉貪總統下台 
9,2016.11.04,Africa, 利比亞,聯合國：利比亞外海2起船難釀至少239死 
10,2016.11.03,Africa, 南蘇丹,肯亞退出南蘇丹維和任務 
11,2016.11.02,Africa, 摩洛哥,執法致魚販喪命，摩洛哥民眾上街抗議 
12,2016.10.28,Africa, 馬達加斯加,聯合國：馬達加斯加150萬人面臨飢荒 
13,2016.10.27,Africa, 索馬利亞,索馬利亞小型港口遭IS相關組織攻占 
14,2016.10.26,Africa, 肯亞,肯亞宣布所有死刑者減刑為終生監禁 
15,2016.10.25,Africa, 利比亞,利比亞政府軍自IS救出13名外國人質 
