"","title","date","place"
"1","美國綠黨募得350萬美元，將申請重新計票 ","2016.11.25"," 美國"
"2","聯合國將對北韓祭出更嚴厲制裁案 ","2016.11.24"," 美國"
"3","川普提名南卡州長出任駐聯合國大使 ","2016.11.24"," 美國"
"4","加拿大：墨西哥公民下月起免簽入境 ","2016.11.23"," 加拿大"
"5","川普譴責白人優越主義運動「另類右派」 ","2016.11.23"," 美國"
"6","美國務院：年終歐洲恐攻風險有升高之虞 ","2016.11.22"," 美國"
"7","川普揭櫫上任後六大優先工作 ","2016.11.22"," 美國"
"8","歐巴馬促TPP成員國致力公平貿易 ","2016.11.21"," 美國"
"9","美國發射歷來最先進氣象衛星GOES-R ","2016.11.21"," 美國"
"10","美復甦力道強勁，葉倫：升息時機近了 ","2016.11.18"," 美國"
"11","美媒：川普延攬前國防情報局長出任國安顧問 ","2016.11.18"," 美國"
"12","憂川普對俄立場軟化，美眾議院先發制人 ","2016.11.17"," 美國"
"13","歐巴馬：川普會信守北約承諾 ","2016.11.15"," 美國"
"14","川普公布兩項重要人事任命 ","2016.11.14"," 美國"
"15","川普接受專訪稱：上任後將驅逐300萬非法移民 ","2016.11.14"," 美國"
"16","歐巴馬邀請川普至白宮商討交接事宜 ","2016.11.11"," 美國"
"17","全美各大城市出現反川普示威遊行 ","2016.11.11"," 美國"
"18","川普入主白宮，副手彭斯將扮演溝通橋樑 ","2016.11.10"," 美國"
"19","柯琳頓敗選感言，籲民眾以開放心胸接納川普 ","2016.11.10"," 美國"
"20","川普選舉人票大幅領先，柯琳頓陣營暫未承認敗選 ","2016.11.09"," 美國"
"21","恐暴露於伊波拉病毒環境，加拿大實驗室研究員已隔離觀察 ","2016.11.09"," 加拿大"
"22","選前最後民調：柯琳頓有九成機會當選 ","2016.11.08"," 美國"
"23","美國第一位女性司法部長辭世 ","2016.11.08"," 美國"
"24","FBI：柯琳頓電郵案查無犯罪證據，維持不起訴建議 ","2016.11.07"," 美國"
"25","憂柯琳頓勝選實施槍枝管制，美國槍枝銷售大增 ","2016.11.07"," 美國"
"26","白宮：TPP未過，美國對日出口拱手讓陸 ","2016.11.04"," 美國"
"27","美國總統大選選情陷入膠著 ","2016.11.04"," 美國"
"28","聯準會維持利率不變，暗示12月將升息 ","2016.11.03"," 美國"
"29","最新民調：柯琳頓領先川普6個百分點 ","2016.11.03"," 美國"
"30","柯琳頓陣營要求FBI公布川普與俄羅斯的關係 ","2016.11.02"," 美國"
"31","川普民調領先柯琳頓，金融市場陷入不安 ","2016.11.02"," 美國"
"32","白宮：不會捍衛或批評FBI重啟柯琳頓電郵案的決定 ","2016.11.01"," 美國"
"33","加拿大：2017年移民名額為30萬人 ","2016.11.01"," 加拿大"
"34","FBI選前重啟電郵案調查，民主黨：此舉恐已違法 ","2016.10.31"," 美國"
"35","美國最新民調：柯琳頓與川普平分秋色，投票率成關鍵 ","2016.10.31"," 美國"
"36","白宮：歐巴馬總統為98名囚犯減刑 ","2016.10.28"," 美國"
"37","寂寞星球：加拿大獲選為2017年最佳旅遊地 ","2016.10.26"," 加拿大"
"38","美國民調：多數人看好柯琳頓當選，對計票公正性有信心 ","2016.10.26"," 美國"
"39","加拿大：CETA結果必須等歐洲做出決定 ","2016.10.25"," 加拿大"
"40","「歐記健保」2017年保費將調漲25% ","2016.10.25"," 美國"
"41","美國最新民調：柯琳頓領先川普12個百分點 ","2016.10.24"," 美國"
"42","南加州觀光巴士撞上卡車，13死31傷 ","2016.10.24"," 美國"
"43","川普：假如是我贏得大選，就會接受選舉結果 ","2016.10.21"," 美國"
"44","菲總統要與美國「分道揚鑣」，美國務院：令人不解 ","2016.10.21"," 美國"
"45","美國展開第三輪總統候選人電視辯論 ","2016.10.20"," 美國"
"46","阿富汗聯軍基地遭攻擊，美籍人士2死3傷 ","2016.10.20"," 美國"
"47","美國要求伊朗釋放被判刑的美國公民 ","2016.10.19"," 美國"
"48","美國防部長支持伊拉克解放摩蘇爾之行動 ","2016.10.18"," 美國"
"49","聯合國宣布葉門將停火72小時 ","2016.10.18"," 美國"
"50","美國強烈譴責北韓試射飛彈 ","2016.10.17"," 美國"
"51","北卡州共和黨辦公室遭縱火 ","2016.10.17"," 美國"
"52","美國歌手巴布狄倫獲頒諾貝爾文學獎 ","2016.10.14"," 美國"
"53","聯合國正式任命古特瑞斯擔任秘書長 ","2016.10.14"," 美國"
"54","美國國務卿凱瑞將與俄羅斯等國談判敘利亞問題 ","2016.10.13"," 美國"
"55","美國防部：「伊斯蘭國」以無人機發動攻擊 ","2016.10.13"," 美國"
"56","歐巴馬呼籲「共和黨」停止支持川普選總統 ","2016.10.12"," 美國"
"57","颶風馬修造成美國北卡州洪水氾濫 ","2016.10.12"," 美國"
"58","美眾議院議長萊恩表示不再為川普辯護 ","2016.10.11"," 美國"
"59","美國展開第二輪總統候選人電視辯論 ","2016.10.11"," 美國"
"60","加拿大國會批准「巴黎氣候協定」 ","2016.10.07"," 加拿大"
"61","「巴黎氣候協定」跨過門檻，將於30天內生效 ","2016.10.06"," 美國"
"62","美陸軍參謀長：美軍有能力擊垮所有潛在對手 ","2016.10.06"," 美國"
"63","美海軍軍令部長：維護南海「航行自由」立場不變 ","2016.10.05"," 美國"
"64","提高企業所有權透明度，G20財金首長將討論資訊共享 ","2016.10.05"," 美國"
"65","美國：不再與俄國就敘利亞停火事宜進行磋商 ","2016.10.04"," 美國"
"66","美國籲哥倫比亞政府與叛軍保持對話 ","2016.10.04"," 美國"
"67","美國退出網路監管，網路進入全球共治時代 ","2016.10.03"," 美國"
"68","美防長重申：新政府續推「亞洲再平衡」政策 ","2016.10.03"," 美國"
"69","避免政府無法運作，美國會通過臨時開支法案 ","2016.09.30"," 美國"
"70","五角大廈：過去1月空襲殲滅18名IS高層 ","2016.09.30"," 美國"
"71","美防長：加派600名美軍赴伊拉克協助訓練 ","2016.09.29"," 美國"
"72","美國參議院推翻歐巴馬否決JASTA法案之決定 ","2016.09.29"," 美國"
"73","歐巴馬否決911罹難者家屬可告沙國法案 ","2016.09.26"," 美國"
"74","「雅虎」證實5億用戶資料遭駭 ","2016.09.23"," 美國"
"75","美警槍殺手無寸鐵非裔牧師 ","2016.09.23"," 美國"
"76","川普揚言退出巴黎氣候協定，遭近400名科學家聯名抨擊 ","2016.09.22"," 美國"
"77","「富國銀行」涉盜開帳戶，美參議員要求執行長下台 ","2016.09.22"," 美國"
"78","歐巴馬：50國承諾接收36萬名難民 ","2016.09.21"," 美國"
"79","聯合國救援車隊遭空襲，美國：俄羅斯應負責 ","2016.09.21"," 美國"
"80","第71屆聯合國大會於紐約揭開序幕 ","2016.09.20"," 美國"
"81","紐約爆炸案嫌犯與警方交火後落網 ","2016.09.20"," 美國"
"82","美國紐約發生爆炸事件，29人受傷 ","2016.09.19"," 美國"
"83","美國明尼蘇達發生持刀砍人事件，調查局不排除為恐攻 ","2016.09.19"," 美國"
"84","柯琳頓靜養期間，歐巴馬代打助選 ","2016.09.14"," 美國"
"85","美俄外長協議聯手空襲「伊斯蘭國」，美國防部不以為然 ","2016.09.14"," 美國"
"86","柯琳頓健康狀況引疑慮，將公布健康報告釋疑 ","2016.09.13"," 美國"
"87","美國佛羅里達清真寺遭人縱火 ","2016.09.13"," 美國"
"88","歐巴馬紀念911：「美國人絕不屈服於恐懼」 ","2016.09.12"," 美國"
"89","柯琳頓911紀念活動暈眩離場 ","2016.09.12"," 美國"
"90","白宮任命空軍退役准將出任美國首位聯邦資安長 ","2016.09.09"," 美國"
"91","美國當局呼籲搭機旅客勿在機上使用三星Note 7手機 ","2016.09.09"," 美國"
"92","川普：若當選，將大幅擴編美軍經費 ","2016.09.08"," 美國"
"93","歐巴馬與杜特蒂在「東協」峰會晚宴短暫互動 ","2016.09.08"," 美國"
"94","歐巴馬承諾撥款9,000萬美元協助寮國清除未爆彈 ","2016.09.07"," 美國"
"95","美韓領袖峰會，歐巴馬承諾對北韓加強制裁 ","2016.09.07"," 美國"
"96","歐巴馬抵達寮國進行歷史性訪問 ","2016.09.06"," 美國"
"97","白宮取消歐巴馬與菲律賓總統的會面 ","2016.09.06"," 美國"
